TEAM_ID,SEASON,W_PCT,PTS,REB,AST,TOV,FG_PCT,FG3_PCT,FT_PCT,STL,BLK,OREB,DREB,PF,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,AST_PCT,REB_PCT,TM_TOV_PCT
1610612746,2018-19,0.585,115.1,45.5,24.0,14.5,0.471,0.388,0.792,6.8,4.7,9.7,35.8,23.3,111.4,110.4,1.0,102.66,0.575,0.582,0.5,0.141
1610612747,2018-19,0.451,111.8,46.6,25.6,15.7,0.47,0.333,0.699,7.5,5.4,10.2,36.4,20.7,107.4,108.9,-1.6,103.6,0.554,0.6,0.502,0.15
1610612763,2018-19,0.402,103.5,41.8,23.9,14.0,0.45,0.342,0.772,8.3,5.5,8.8,33.0,22.0,105.6,108.0,-2.4,97.15,0.548,0.631,0.484,0.143
1610612748,2018-19,0.476,105.7,46.3,24.3,14.7,0.45,0.349,0.695,7.6,5.5,11.2,35.1,20.9,106.7,107.1,-0.4,98.73,0.542,0.612,0.509,0.149
1610612749,2018-19,0.732,118.1,49.7,26.0,13.9,0.476,0.353,0.773,7.5,5.9,9.3,40.4,19.6,113.5,104.9,8.6,103.57,0.583,0.601,0.516,0.133
1610612750,2018-19,0.439,112.5,44.8,24.6,13.1,0.456,0.351,0.787,8.3,5.0,11.3,33.5,20.3,110.6,112.2,-1.6,100.88,0.552,0.591,0.497,0.129
1610612740,2018-19,0.402,115.4,47.3,27.0,14.8,0.473,0.344,0.761,7.4,5.4,11.1,36.2,21.1,110.7,112.0,-1.3,103.89,0.563,0.619,0.509,0.142
1610612752,2018-19,0.207,104.6,44.7,20.1,14.0,0.433,0.34,0.759,6.8,5.1,10.5,34.3,20.9,104.0,112.9,-8.9,100.16,0.529,0.525,0.486,0.14
1610612760,2018-19,0.598,114.5,48.1,23.4,14.0,0.454,0.348,0.713,9.3,5.2,12.6,35.5,22.4,109.8,106.5,3.4,103.38,0.545,0.548,0.509,0.134
1610612753,2018-19,0.512,107.3,45.4,25.5,13.2,0.454,0.356,0.782,6.6,5.4,10.0,35.4,18.6,108.2,107.6,0.6,98.65,0.55,0.632,0.504,0.133
1610612755,2018-19,0.622,115.2,47.8,26.9,14.9,0.471,0.359,0.771,7.4,5.3,10.9,36.9,21.3,111.6,109.0,2.6,102.59,0.574,0.648,0.517,0.144
1610612756,2018-19,0.232,107.5,40.4,23.9,15.6,0.459,0.329,0.779,9.0,5.1,9.1,31.3,23.6,105.3,114.2,-8.9,101.15,0.552,0.595,0.464,0.153
1610612757,2018-19,0.646,114.7,48.0,23.0,13.8,0.467,0.359,0.814,6.7,5.0,11.8,36.2,20.4,113.7,109.5,4.2,99.96,0.568,0.544,0.526,0.137
1610612758,2018-19,0.476,114.2,45.4,25.4,13.4,0.464,0.378,0.726,8.3,4.4,11.0,34.4,21.4,109.6,110.8,-1.2,103.88,0.554,0.588,0.487,0.128
1610612759,2018-19,0.585,111.7,44.7,24.5,12.1,0.478,0.392,0.819,6.1,4.7,9.2,35.5,18.1,112.2,110.6,1.6,98.88,0.572,0.58,0.501,0.122
1610612761,2018-19,0.707,114.4,45.2,25.4,14.0,0.474,0.366,0.804,8.3,5.3,9.6,35.6,21.0,112.6,106.8,5.8,100.51,0.579,0.603,0.502,0.138
1610612762,2018-19,0.61,111.7,46.4,26.0,15.1,0.468,0.356,0.736,8.1,5.9,10.0,36.4,21.1,110.3,105.3,5.0,100.84,0.572,0.644,0.522,0.149
1610612764,2018-19,0.39,114.0,42.4,26.3,14.1,0.468,0.341,0.768,8.3,4.6,9.7,32.7,20.7,110.2,112.9,-2.7,102.23,0.567,0.623,0.477,0.136
1610612737,2019-20,0.299,111.8,43.3,24.0,16.2,0.449,0.333,0.79,7.8,5.1,9.9,33.4,23.1,107.0,114.4,-7.4,103.28,0.554,0.589,0.484,0.155
1610612738,2019-20,0.667,113.7,46.1,23.0,13.8,0.461,0.364,0.801,8.3,5.6,10.7,35.4,21.6,112.8,106.5,6.3,99.92,0.57,0.557,0.509,0.137
1610612751,2019-20,0.486,111.8,47.9,24.5,15.3,0.448,0.343,0.745,6.4,4.5,10.6,37.3,21.0,108.7,109.2,-0.5,101.7,0.554,0.606,0.511,0.148
1610612766,2019-20,0.354,102.9,42.8,23.8,14.6,0.434,0.352,0.748,6.6,4.1,11.0,31.8,18.8,105.9,112.8,-7.0,96.24,0.539,0.639,0.486,0.15
1610612741,2019-20,0.338,106.8,41.9,23.2,15.5,0.447,0.348,0.755,10.0,4.1,10.5,31.4,21.8,105.8,108.9,-3.1,100.46,0.547,0.587,0.481,0.153
1610612739,2019-20,0.292,106.9,44.2,23.1,16.5,0.458,0.351,0.758,6.9,3.2,10.8,33.4,18.3,106.9,114.8,-7.9,99.17,0.553,0.573,0.512,0.165
1610612742,2019-20,0.573,117.0,46.9,24.7,12.7,0.461,0.367,0.779,6.1,4.8,10.5,36.4,19.5,115.9,111.2,4.8,99.89,0.581,0.592,0.509,0.126
1610612743,2019-20,0.63,111.3,44.1,26.7,13.8,0.473,0.359,0.777,8.0,4.6,10.8,33.4,20.3,112.6,110.4,2.2,97.64,0.567,0.636,0.509,0.139
1610612765,2019-20,0.303,107.2,41.7,24.1,15.3,0.459,0.367,0.743,7.4,4.5,9.8,32.0,19.7,108.8,112.3,-3.5,97.86,0.561,0.612,0.493,0.155
1610612744,2019-20,0.231,106.3,42.8,25.6,14.9,0.438,0.334,0.803,8.2,4.6,10.0,32.9,20.1,104.4,113.0,-8.6,101.04,0.54,0.663,0.481,0.146
1610612745,2019-20,0.611,117.8,44.3,21.6,14.7,0.451,0.345,0.791,8.7,5.2,9.8,34.5,21.8,112.5,109.8,2.7,104.04,0.578,0.53,0.48,0.14
1610612754,2019-20,0.616,109.4,42.8,25.9,13.2,0.476,0.363,0.787,7.4,5.2,8.7,34.1,19.8,109.5,107.5,1.9,99.41,0.565,0.614,0.487,0.132
1610612746,2019-20,0.681,116.3,47.7,23.7,14.6,0.466,0.371,0.791,7.1,4.7,10.7,37.0,22.1,113.3,106.9,6.3,102.16,0.577,0.571,0.515,0.142
1610612747,2019-20,0.732,113.4,45.7,25.4,15.2,0.48,0.349,0.729,8.6,6.6,10.7,35.1,20.7,111.7,106.1,5.6,101.2,0.573,0.6,0.512,0.149
1610612763,2019-20,0.466,112.6,46.5,26.9,15.2,0.468,0.347,0.763,7.9,5.5,10.3,36.2,21.2,108.7,109.7,-1.0,103.31,0.561,0.633,0.506,0.147
1610612748,2019-20,0.603,112.0,44.4,25.9,14.9,0.468,0.379,0.783,7.5,4.5,8.5,35.9,20.6,111.9,109.3,2.7,98.7,0.587,0.657,0.512,0.149
1610612749,2019-20,0.767,118.7,51.7,25.9,15.1,0.476,0.355,0.742,7.2,5.9,9.5,42.2,19.6,111.9,102.5,9.4,105.51,0.583,0.598,0.524,0.142
1610612750,2019-20,0.297,113.3,44.8,23.8,15.3,0.441,0.336,0.753,8.7,5.7,10.5,34.3,21.4,107.6,111.6,-4.0,103.94,0.551,0.59,0.488,0.146
1610612740,2019-20,0.417,115.8,46.5,26.8,16.4,0.465,0.37,0.729,7.5,5.0,11.1,35.4,21.2,110.5,111.8,-1.3,103.89,0.568,0.63,0.508,0.156
1610612752,2019-20,0.318,105.8,46.5,22.1,14.3,0.447,0.337,0.694,7.6,4.7,12.0,34.5,22.2,105.9,112.4,-6.5,99.11,0.531,0.552,0.513,0.143
1610612760,2019-20,0.611,110.4,42.9,21.7,13.7,0.468,0.355,0.796,7.6,4.9,8.2,34.7,19.3,110.1,108.1,2.1,99.42,0.573,0.543,0.492,0.137
